Date,SPX,AMZN,AAPL,SPY,FB,TSLA,MSFT,QQQ,NFLX,JPM,DIS,NVDA,BA,GOOGL,ZM,T,NDX,IWM,GOOG,BAC,BYND,INTC,JNJ
5/8/2020,72.09%,31.10%,144.46%,46.16%,5.18%,313.01%,-16.24%,58.26%,32.37%,-10.79%,10.08%,152.31%,65.20%,18.78%,-296.01%,169.04%,59.27%,166.21%,37.45%,42.43%,752.00%,0.00%,-14.79%
5/11/2020,50.97%,141.97%,218.41%,73.85%,107.42%,256.98%,192.25%,148.54%,95.11%,-126.71%,-58.46%,319.86%,-155.92%,190.94%,423.47%,-94.72%,154.54%,97.95%,178.16%,-234.72%,100.14%,64.86%,44.26%
5/12/2020,-236.03%,-232.50%,-206.81%,-248.37%,-151.83%,-216.83%,-235.06%,-241.31%,-235.75%,-358.50%,-430.37%,-411.38%,-359.37%,-239.97%,-432.19%,-215.60%,-234.42%,-416.63%,-228.23%,-384.09%,216.17%,-313.41%,-201.17%
5/13/2020,-160.02%,5.07%,-146.92%,-158.38%,-211.12%,-377.39%,-155.77%,-150.91%,58.87%,-279.66%,-153.52%,-177.38%,-288.07%,-206.17%,211.20%,-254.72%,-137.34%,-238.75%,-204.54%,-378.53%,-451.27%,-122.97%,71.37%
5/14/2020,207.40%,116.38%,162.81%,211.25%,205.50%,291.26%,165.62%,167.25%,-66.75%,548.45%,371.07%,235.34%,288.93%,170.99%,-20.84%,208.62%,162.70%,255.85%,156.32%,654.08%,141.79%,297.90%,152.40%
5/15/2020,119.26%,170.97%,239.18%,136.58%,266.03%,110.74%,223.85%,201.55%,297.01%,-110.59%,373.22%,707.81%,139.17%,180.63%,462.16%,14.04%,192.68%,245.44%,168.95%,18.66%,-61.12%,151.00%,170.83%
5/18/2020,137.45%,89.85%,57.15%,66.10%,48.78%,-175.15%,-45.43%,50.57%,31.38%,194.58%,203.68%,-12.57%,683.70%,170.37%,-324.25%,157.44%,54.19%,92.70%,160.40%,222.42%,-573.71%,30.04%,-130.88%
5/19/2020,-86.99%,80.02%,-60.03%,-81.52%,166.45%,-87.25%,-76.24%,-35.26%,-52.32%,-155.63%,-63.83%,18.17%,-502.91%,-80.03%,384.62%,-169.26%,-29.83%,-166.08%,-99.02%,-202.61%,254.77%,26.54%,-72.47%
5/20/2020,60.87%,80.86%,80.19%,37.38%,281.34%,-60.70%,45.78%,82.54%,-146.98%,67.89%,291.86%,-23.41%,3.75%,141.92%,111.12%,107.48%,73.56%,94.78%,122.26%,100.39%,-111.74%,307.45%,-140.17%
5/21/2020,-72.19%,-217.43%,-58.07%,-64.77%,-143.91%,139.57%,-107.40%,-114.48%,-282.18%,-11.09%,-128.15%,-315.67%,143.88%,-29.85%,-228.45%,-4.45%,-116.91%,14.15%,-37.07%,39.30%,-211.43%,-180.70%,-122.01%
5/22/2020,25.10%,-74.69%,97.84%,29.45%,144.74%,-64.27%,17.44%,52.25%,-178.89%,-60.36%,44.06%,222.69%,-253.04%,66.52%,-46.77%,35.48%,53.45%,16.31%,96.43%,-119.15%,-33.63%,44.97%,-13.85%
5/26/2020,-40.98%,-149.48%,-214.70%,-95.29%,-326.01%,-190.51%,-262.71%,-192.11%,-313.43%,305.78%,-8.27%,-503.56%,-33.17%,-144.93%,-310.98%,60.19%,-192.28%,-94.39%,-142.55%,218.29%,-523.82%,-214.95%,-112.76%
5/27/2020,67.91%,22.40%,61.61%,46.45%,3.05%,-7.32%,88.55%,77.29%,226.49%,-69.05%,-176.91%,-117.30%,25.41%,1.41%,244.49%,37.44%,79.88%,106.23%,4.23%,-34.64%,-613.89%,195.09%,39.34%
