Date,$QQQ
2020/04/17,1
2020/04/27,-1
2020/06/11,-1
2020/06/24,-1
2020/07/02,-1
2020/07/07,0
2020/07/08,1
2020/07/09,-1
2020/07/11,1
2020/07/14,-1
2020/07/15,1
2020/06/19,0
2020/06/06,-1
