Date,$AAPL
2020/04/15,-1
2020/05/03,1
2020/05/29,1
2020/06/02,-1
2020/06/04,1
2020/06/05,-1
2020/06/09,1
2020/06/10,1
2020/06/11,-1
2020/06/17,1
2020/06/23,-1
2020/06/24,0
2020/06/25,0
2020/06/26,-1
2020/06/29,1
2020/07/02,1
2020/07/06,1
2020/07/07,-1
2020/07/08,1
2020/07/11,1
2020/07/15,1
2020/06/19,-1
2020/04/18,1
2020/06/22,-1
2020/04/26,1
2020/05/07,1
2020/06/07,1
