Date,$AMZN
2020/04/13,1
2020/04/14,0
2020/04/15,1
2020/04/17,1
2020/04/22,-1
2020/04/28,1
2020/05/03,1
2020/05/30,-1
2020/05/31,-1
2020/06/02,1
2020/06/05,1
2020/06/09,0
2020/06/10,1
2020/06/13,-1
2020/06/15,-1
2020/06/17,1
2020/06/18,0
2020/06/24,1
2020/06/25,-1
2020/06/28,1
2020/07/01,-1
2020/07/02,1
2020/07/04,1
2020/07/07,1
2020/07/08,1
2020/07/09,-1
2020/07/11,1
2020/07/12,-1
2020/07/15,1
