Date,$FB
2020/04/09,-1
2020/04/14,1
2020/04/29,-1
2020/05/29,1
2020/06/02,-1
2020/06/08,1
2020/06/09,1
2020/06/17,1
2020/06/24,0
2020/06/26,-1
2020/06/28,-1
2020/06/29,0
2020/07/01,-1
2020/07/02,1
2020/07/06,1
2020/07/07,1
2020/07/08,-1
2020/07/11,-1
2020/07/15,0
2020/04/24,1
2020/05/28,1
2020/06/03,-1
2020/06/19,-1
2020/06/27,0
2020/07/03,-1
