Date,$MSFT
2020/04/28,1
2020/05/03,1
2020/06/02,-1
2020/06/08,1
2020/06/10,1
2020/06/23,1
2020/06/25,0
2020/06/29,-1
2020/07/06,-1
2020/07/07,-1
2020/07/08,1
2020/07/11,-1
2020/05/28,1
2020/06/19,1
