Date,$NFLX
2020/04/13,0
2020/04/17,1
2020/05/30,-1
2020/06/08,1
2020/06/09,1
2020/06/17,-1
2020/06/24,1
2020/07/01,1
2020/07/06,-1
2020/07/07,-1
2020/07/16,0
2020/05/05,1
2020/04/20,1
