Date,$SPY
2020/04/16,1
2020/04/27,-1
2020/05/03,1
2020/05/29,-1
2020/06/04,-1
2020/06/08,0
2020/06/10,0
2020/06/11,0
2020/06/16,1
2020/06/18,-1
2020/06/24,1
2020/06/26,-1
2020/06/28,1
2020/07/02,1
2020/07/07,0
2020/07/09,-1
2020/07/11,1
2020/07/14,1
2020/07/13,-1
2020/06/30,1
2020/04/19,1
2020/05/07,1
2020/07/05,0
